table.gene	log*sign
SLK	-5,359171453
HOPX	-5,358688447
MAP2K2	5,352829497
MARS1	5,348901296
FOXJ3	-5,348644185
PILRB	-5,345506077
ZNF266	-5,343708001
COLEC12	5,343683447
USP2	-5,335507329
FMN1	-5,33447906
KIF18B	5,333407701
PLOD2	5,332028952
SLC22A23	-5,331454961
EBPL	5,330189137
EXOC6	-5,329339038
PAFAH2	-5,327785251
EXT2	5,327626178
ISOC2	5,327286295
DENND1C	-5,32262554
DOP1B	-5,319700329
FOSB	5,317483982
ATG12	5,314221655
FAAH	-5,313981444
ABLIM2	-5,313645347
DCAF13	5,312200738
SAMD12	-5,31033611
S100A9	-5,308305316
LAMTOR2	5,306083879
CDC20	5,300092323
LY86	-5,297569043
NRK	5,296078906
POLDIP2	5,294150666
WDFY4	-5,293244164
EMSY	-5,290259769
ENTPD1	-5,289501111
PCSK1N	-5,287972935
MXRA8	5,287772842
LAG3	-5,286940962
SPATS2	5,286643805
RSPO3	-5,283315752
MANF	5,281158218
LGI4	-5,280945995
ZNF799	-5,280447835
POLR2E	5,280347466
RTN1	-5,276864602
TRNAU1AP	5,276766433
HPGD	-5,275313234
CCR4	-5,274766667
MRFAP1	5,271097191
LRRC25	-5,268362972
NAE1	5,267903848
FGFR2	-5,267531113
PDE2A	-5,266147673
DERL2	5,266120311
IL1R1	5,265448782
IQSEC1	-5,264842735
HM13	5,263525102
MPLKIP	5,262294582
FAM122B	-5,262087859
C3AR1	-5,26204539
SLC16A6	-5,255889713
PPM1L	-5,245887067
SEC11C	-5,243962859
OPHN1	-5,242336927
PARK7	5,239282472
WDR46	5,236404423
PIK3AP1	-5,235924027
MVD	5,23589633
TMED3	5,235864527
PILRA	-5,234805416
HEXA	5,226802363
KIF2C	5,222088477
MAN2A2	-5,219904022
MATK	-5,218973204
TUBB	5,218852019
IGSF6	-5,216443968
PLEKHA7	-5,213530315
GLCCI1	-5,21352927
ARID2	-5,205323548
CDS1	-5,2047229
IL1R2	-5,204700077
ST8SIA4	-5,199561656
NEDD9	-5,196760213
PLEKHG1	-5,194147764
AIF1L	-5,190369152
ARID3B	-5,190233962
TEDC2	5,179744785
ADAR	-5,179133164
ZFAND4	-5,17834233
KLF4	-5,176846585
EIF2S2	5,175925261
ADH5	5,172925339
PFKFB3	-5,170970294
PAK6	-5,170257289
ATP1B2	-5,170146772
TTC9	-5,166575389
FBXO34	-5,164909315
ADGRG1	-5,164847678
LRMDA	-5,164108094
ZBTB26	-5,163370945
PHACTR4	-5,157305039
CLEC7A	-5,154831079
IDS	-5,153906439
PRELP	-5,151055363
RSL1D1	5,147890049
RPRD2	-5,146615148
SLU7	-5,145411271
CRIP1	-5,144870666
SKP2	5,144185785
N4BP1	-5,14040987
UBFD1	5,137208472
CXCL2	5,135801333
SFRP2	-5,134728944
ACHE	-5,134707974
GPR160	-5,130074634
DEPDC1	5,129311697
RNF38	-5,125879713
MGAT2	5,125778479
SNRPD3	5,117177872
DHRS9	5,117171569
ADRB2	-5,116199491
ARHGAP33	-5,114467552
SOCS5	5,11439398
LAT2	-5,11432724
INAFM1	5,112863149
KBTBD3	-5,11046761
CTC1	-5,110101105
CYP4F3	-5,107512349
CLEC4A	-5,107244042
SMAD6	5,104116359
GAPT	-5,102659917
CELF2	-5,102631178
ZNF235	-5,10115007
TMEM126A	5,100915584
UBE2E1	5,099168592
PAPSS1	5,098561062
KLHL6	-5,098144274
HOOK1	-5,0975168
TNPO1	5,093589317
INPP4B	-5,092213731
NOXA1	-5,090973476
RBBP4	5,0906971
ITGAX	-5,090576751
TMEM9B	-5,08841995
PRKAB1	-5,086493894
PHLDB3	-5,083098616
MAN2A1	-5,082458791
TAOK3	-5,079197418
FZD2	5,079083534
RSBN1L	-5,07841081
COL19A1	-5,07812636
KCNJ2	-5,077758084
JCHAIN	-5,077343576
ITM2A	-5,075308326
CPSF7	-5,072483181
TKT	5,071366046
RNF103	-5,069541592
PTGFRN	5,066084255
MRPL37	5,06545361
SLC48A1	-5,062807989
SULF1	5,058137631
MTHFD1L	5,057550149
B3GNT7	-5,057285869
TLR8	-5,053916496
UBE2C	5,053839204
DDX41	5,053717678
AGAP2	-5,050286607
RPL19	5,050266576
KLHL2	-5,047892829
DBP	-5,047381446
