table.gene	log*sign
LMTK2	4,686881306
CCDC12	4,686380919
GAS2	4,684123994
APBA2	4,681424208
PLCXD3	4,672934018
MPC1	4,672419671
PNRC2	-4,671946534
CYP2J2	4,671281682
MBP	4,670209127
PPP6R2	-4,668052461
PAFAH1B3	4,662350265
SPOUT1	4,661879465
GNPDA1	4,660635516
XRCC3	4,659398068
TMEM45B	4,656576474
IMPACT	-4,656552732
CDK10	4,655562294
TBC1D4	4,654433063
S100A9	4,653711761
FAM162B	4,652859185
COPB1	-4,651794543
ARMC9	-4,65090904
EFHD1	-4,649088348
MDC1	4,648398157
C2CD4B	4,647690662
SERHL2	4,642939074
DCHS1	4,64087831
PROX1	4,639841692
PEG3	4,634037136
ELMO1	4,633767806
PLK1	4,632938111
FERMT1	4,63204693
DDX51	4,631693116
VPS53	4,630139432
SLC37A2	4,629856249
LUZP2	-4,629116782
ARHGAP35	-4,628645575
TRIM26	4,622685408
LCN2	4,615318506
LMAN2L	4,607759934
CP	4,605250796
RNF43	4,602509503
GBX2	4,602397072
THEMIS2	4,601431058
AIF1L	4,599919812
PGAM5	4,599759351
CES1	4,594957392
SNX10	4,594232994
RND2	4,594128882
RERE	4,592875343
MYO18B	-4,592222687
ACACB	4,591195354
COX7A1	-4,58603821
ELP5	4,58565171
POLD1	4,584743172
MON1B	4,583381198
GINS1	4,582116469
SLC30A4	-4,580237415
SLITRK1	-4,578742512
MCTP1	4,578549678
ISCA2	4,576610543
LYPD6	-4,57194871
RAP1B	-4,571909451
SPP1	4,561103127
EIF2S3	-4,56004546
PTPRS	4,559879934
PWP1	-4,55761724
ACKR2	4,554932972
ALDH1A3	4,553575876
UBE2S	4,546305381
RSF1	-4,545902185
CLEC14A	4,543852241
PTPN13	-4,543296063
CCN5	-4,541810465
UNC5C	4,541793869
PEAR1	-4,540568944
ECHS1	4,540133484
EEPD1	4,538337304
PRR5L	-4,537008939
ABCB4	4,533883141
ELF3	4,532963956
LAPTM5	4,531465522
TIMP4	4,530449896
ADGRA3	4,526881401
M6PR	4,526133319
SOX11	4,517435016
RND1	4,513054325
HIF3A	4,510368115
PON3	4,507541075
GMPPB	4,506432826
OPTN	-4,50041336
CSF3	4,499190089
CFD	4,498836129
RFT1	4,497883144
LRG1	4,497275678
TOP3A	4,495291278
SLC25A11	4,493469239
SNX8	4,492034713
LMAN2	4,491687494
KRT19	-4,491444961
TENM4	4,48922968
GRB14	4,488638762
CCNF	4,487487342
TRPM8	4,487067062
UBLCP1	-4,485446228
MRPS15	4,48440114
POLA2	4,482008644
POLE3	4,480455007
REV3L	-4,478392684
NSMAF	-4,477399002
SPC24	4,475787726
MALT1	-4,474541238
MAP2K6	4,47427439
POLG	4,47259619
PSMD11	4,471666575
OLR1	-4,469438993
SNRNP25	4,46448284
EXOSC2	4,462175196
MAP4K5	-4,458925561
GIMAP7	4,458630236
PIGU	4,458510627
PARP3	-4,455108234
SYF2	-4,454381808
SLC24A1	-4,452849688
XPNPEP2	4,450534923
CHSY3	4,447973135
ARRDC3	-4,44688974
ITGB3	4,446014395
RCOR2	4,444005196
ECH1	4,443498757
LIFR	4,442691863
B3GNT5	4,439431342
PLCG2	4,438886098
RPSA	-4,438615482
ESAM	4,437589073
HOXB7	4,435369829
MID1	-4,433189187
SLC7A2	4,432174654
PLPP4	-4,423852987
LEPR	-4,415208532
ITPR2	4,410915043
LYZ	4,406212833
MTA2	4,405642822
CNDP2	4,404400413
ITGA9	4,403543766
DHRS13	4,398826915
RPA3	4,398621316
POLD2	4,398297814
HNRNPAB	4,397927615
SERPINA1	4,396756154
DEPDC5	4,395797384
RUVBL1	4,395488345
PDE5A	-4,390578582
GATA4	4,390234407
CHST11	4,389124699
REPS1	4,385499841
ADRA1B	4,384289182
AGPAT5	4,382400685
C1QB	4,378494316
APC	-4,37552265
GNG12	-4,375162688
CBX3	-4,373659418
NDRG4	4,372880418
TPM3	4,372753439
PXYLP1	4,365571443
VASN	-4,361519003
MEGF9	4,361098151
GPR75	4,358977363
S100A8	4,358028685
ALCAM	-4,354305235
CMTR1	4,353216356
GTF2H5	-4,353115055
ADAMTS16	4,35163956
TOP3B	4,351566633
FAM222B	4,350483391
FPR1	4,347198002
P2RY1	4,346805033
PDE3B	4,346593113
GAK	4,343535762
NFAT5	-4,342973685
PTH1R	4,338399674
U2AF2	4,337362728
PPARGC1B	4,335420526
SGSH	-4,333243949
WDFY2	4,332668771
PHTF2	-4,328821301
CRMP1	4,327833997
TMEM108	4,323067672
GPR4	4,32042509
SOX18	4,320313794
ADAMTS17	4,318373259
ISCA1	-4,318221912
COCH	4,3170038
MIEF1	4,31554261
PAN2	4,31427823
PHRF1	4,312702334
RPL39	-4,311621452
PEX2	-4,309525838
NTF3	4,303524561
HOXA5	4,30344697
CZIB	4,30309943
TRAP1	4,297841824
SLC25A18	4,297510464
CYBRD1	-4,297017976
MED13	-4,292994277
L2HGDH	4,289279178
PDK1	-4,288876568
PCGF6	4,288319709
TMEM37	4,280410297
PPP1R1A	4,28033109
PCDH18	-4,278852254
PBX3	-4,278306629
PRKCZ	4,276021831
UBE2T	4,273980301
RBP4	4,273874994
CYB561	-4,271824625
BBOF1	-4,269192896
MRPL49	4,268632369
ECM2	-4,268275037
SUV39H1	4,268044333
DESI2	-4,264080789
SLC19A3	4,262824679
GINS4	4,260502327
NCKAP5	4,260337381
SELENOP	4,259901362
ACTR2	-4,259823295
NCAPD3	4,258804887
MARCO	4,252295442
MCM5	4,250205543
MEOX2	4,250140112
RANBP9	-4,249584267
CEP72	4,249173381
EEF1D	4,248673079
PTGER4	4,247434112
NPW	4,244871779
PDIA6	4,244726012
TEAD1	-4,24400031
SAA1	4,243389263
RSL24D1	-4,242456351
SOCS2	-4,242053784
TECR	4,241734612
TENM3	-4,241645047
PCSK5	4,238625825
FLVCR1	4,237975299
HMG20B	4,23713257
PKIB	4,235918653
HIP1	4,235863943
NREP	-4,234534491
TDRKH	4,233502798
ST6GAL2	4,232411961
DGKG	4,229140366
SSBP3	4,228743701
GANAB	4,225458315
COL9A3	4,22539161
LYL1	4,225227708
TBL3	4,224992255
SGTB	-4,223256252
STAT1	-4,221013236
DRAXIN	4,220775819
NUP210	4,220481763
FAM13B	-4,218285463
HLA-DMB	4,216471109
ZCRB1	-4,213956092
RAPGEF5	4,213535213
A2M	4,210105941
RNFT1	4,209745605
MSMP	4,20885659
ALX3	-4,207353181
IL17RD	4,206137019
FBXL14	4,205702656
RASSF8	-4,204029835
DIPK1B	4,203350737
ABCA1	4,202694282
TCEA1	-4,202016581
ATP2B2	4,197945522
NMU	4,197479762
SQLE	4,196979191
VSNL1	4,194629854
DHDDS	4,194379941
IL1RN	4,19354527
CLSTN3	4,191903717
CHN2	4,191093765
BAG6	4,190686272
SEMA3C	-4,189807372
SPTSSA	4,189699426
TF	4,189027335
PNP	4,188464622
BID	4,186414114
SLC39A6	-4,181842078
ACRBP	4,178554157
SLC43A3	4,176957263
CCDC138	4,175715316
CD9	-4,175216524
STIP1	4,173751035
HTRA2	4,173694459
CDO1	4,172259496
KRCC1	-4,172179259
CDH23	4,170573019
POLRMT	4,17050768
MYCT1	4,169107754
GPR158	4,169066029
