table.gene	table.logFC	table.logCPM	table.F	table.PValue	table.FDR	adjust.method	comparison	test
140	LLGL2	-1.19994756022238	4.39601365029532	2.09328895179053	0.158164792290431	0.474275963285313	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
141	HIKESHI	0.683972537056814	5.2773151762754	1.09052748072275	0.30457487920489	0.627401176521978	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
142	COX19	0.491618496973794	5.48348856609799	1.19191066686521	0.283508389336396	0.60870918886932	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
143	RLIM	-1.73025257210854	5.50060493851863	7.94821552673733	0.00838522675316345	0.109261212360707	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
144	AVPI1	1.67806699043968	5.23410188633332	3.48790237014392	0.0714715454769996	0.327704929364873	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
145	LRRC75A	-1.4889547976301	3.48666672574039	5.25290562027888	0.0295093804971961	0.208171984498263	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
146	UBTD2	0.193142102433165	4.54407078454539	0.0636854694076105	0.802458815813983	0.947538900655045	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
147	PDE6D	1.67030283718974	4.42522104246606	7.59118830044032	0.0098087384780732	0.119339651483224	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
148	GADD45G	-0.623974999397721	7.37551870616155	0.675638444174988	0.417483189789082	0.718485514670805	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
149	POGLUT1	-0.594175467648864	4.48133032260358	1.7949892299842	0.19023381097895	0.515890925351447	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
150	FAM71E1	1.15646180132331	2.63593882993393	1.17350299573624	0.287186953731983	0.612543297820065	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
151	RBM38	0.840973100558394	4.24015051583151	0.507671138173734	0.481573633048868	0.763921095253149	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
152	WDR48	-0.397716882953301	5.35789756672087	0.526039046191853	0.473814770961686	0.760171511118883	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
153	WNT2B	0.721254009674299	3.73384444804344	0.207542181649934	0.652564210355182	0.869331901390237	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
154	TYRO3	0.324315340756071	3.99787936121121	0.250404635256039	0.620388217104402	0.853681424013621	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
155	NAA20	0.338303021754407	6.05671699845567	0.810831439462773	0.374941912530562	0.686550249107397	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
156	AGMO	-2.03448177859718	6.28553967399703	5.68318596442521	0.0235549009320807	0.185352269433567	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
